model,MAE,RMSE,R2,MAPE
RF_Baseline,42032.357100108144,56852.87845446252,0.88968455981275,14.66450687326275
RF_Tuned_Optuna,25695.014844476627,37975.90431625055,0.9507793170348334,8.13246999402413
RF_SHAP_FeatureSelection,57181.90366256,76574.05188870266,0.7998780882389085,20.34807306213877
ExtraTrees,14333.69849268278,22683.3096451323,0.9824392027340079,4.359802942312492
RF_Weighted,52914.52004440612,67497.9041174532,0.8445065992395939,19.93057553669466
Stacking_RF_ET_Ridge,12017.250946725926,19626.559514360437,0.9868532096401608,3.660408126515817
RF_RobustScaler,48762.02668296779,64455.40447480209,0.8582085438203486,17.280735053407223
Bagging_RF,69042.78906047174,88627.74533780939,0.7319160654541587,24.57476668695694
Voting_RF_ET,34847.71443541968,47256.53587616017,0.9237824205979338,11.923157379809979
Stacking_MultiRF_Ridge,18074.20818163428,26600.452552042054,0.9758504280557707,5.803452428627285
